sentence,sentiment,topic,sentence_seg
giáo viên đứng lớp dạy rất hay .,positive,lecturer,giáo_viên đứng lớp dạy rất hay .
tóm lại đề thi 50% là kiến thức về mạng chủ yếu không tập trung vào hệ điều hành linux .,negative,training_program,tóm lại đề thi 50 % là kiến_thức về mạng chủ_yếu không tập_trung vào hệ điều_hành linux .
cô điểm danh nhiều quá colonsad .,negative,lecturer,cô điểm_danh nhiều quá colonsad .
"thầy vui vẻ , giúp đỡ nhiệt tình .",positive,lecturer,"thầy vui_vẻ , giúp_đỡ nhiệt_tình ."
"thầy tận tâm , nhiệt tình dạy dễ hiểu .",positive,lecturer,"thầy tận_tâm , nhiệt_tình dạy dễ hiểu ."
giảng viên thực hành nên quan tâm đến sinh viên nhiều hơn .,negative,lecturer,giảng_viên thực_hành nên quan_tâm đến sinh_viên nhiều hơn .
thầy không thông báo thời gian học cụ thể cho sinh viên .,negative,lecturer,thầy không thông_báo thời_gian học cụ_thể cho sinh_viên .
dạy chán .,negative,lecturer,dạy chán .
thầy rất nhiệt tình và thường xuyên dạy lố giờ .,negative,lecturer,thầy rất nhiệt_tình và thường_xuyên dạy lố giờ .
"thầy vui vẻ , dễ trao đổi học tập .",positive,lecturer,"thầy vui_vẻ , dễ trao_đổi học_tập ."
"giáo viên tận tình , nhiệt tình trong việc cung cấp tài liệu và bài tập qua facebook .",positive,lecturer,"giáo_viên tận_tình , nhiệt_tình trong việc cung_cấp tài_liệu và bài_tập qua facebook ."
thầy giảng quá nhanh !,negative,lecturer,thầy giảng quá nhanh !
"thầy nói nhỏ , giờ học khá nhàm chán .",negative,lecturer,"thầy nói_nhỏ , giờ học khá nhàm_chán ."
"giáo viên tâm huyết , nhiệt tình .",positive,lecturer,"giáo_viên tâm_huyết , nhiệt_tình ."
"cô wzjwz103 dạy rất hay , rất nhiệt tình , cách dạy của cô cũng rất lý thú , tạo sự hứng thú cho sinh viên .",positive,lecturer,"cô wzjwz103 dạy rất hay , rất nhiệt_tình , cách dạy của cô cũng rất lý_thú , tạo sự hứng_thú cho sinh_viên ."
cung cấp cho sinh viên đủ bài tập khi đến lớp cũng như làm ở nhà .,positive,lecturer,cung_cấp cho sinh_viên đủ bài_tập khi đến lớp cũng như làm ở nhà .
"giảng viên dạy dễ hiểu , thân thiên với sinh viên .",positive,lecturer,"giảng_viên dạy dễ hiểu , thân thiên với sinh_viên ."
"nhiệt tình , kỹ năng dạy kinh nghiệm .",positive,lecturer,"nhiệt_tình , kỹ_năng dạy kinh_nghiệm ."
thầy nên chủ động hơn trong việc giúp đỡ sinh viên trong lúc thực hành .,negative,lecturer,thầy nên chủ_động hơn trong việc giúp_đỡ sinh_viên trong lúc thực_hành .
phòng học thực hành wzjwz18 không đảm bảo chất lượng cho việc học thực hành .,negative,facility,phòng học thực_hành wzjwz18 không đảm_bảo chất_lượng cho việc học thực_hành .
"giáo viên giảng rõ , dễ hiểu .",positive,lecturer,"giáo_viên giảng rõ , dễ hiểu ."
"học cực kỳ áp lực , thầy dạy khó hiểu .",negative,lecturer,"học cực_kỳ áp_lực , thầy dạy khó hiểu ."
"thầy không chịu dạy thực hành , nên cũng rất chán khi học thực hành , nói chung là không ai đi học thực hành là do thầy không dạy tốt , thực ra thì chưa dạy gì cả .",negative,lecturer,"thầy không chịu dạy thực_hành , nên cũng rất chán khi học thực_hành , nói_chung là không ai đi học thực_hành là do thầy không dạy tốt , thực_ra thì chưa dạy gì cả ."
"môn học cần được phân bố hợp lý hơn , nên để năm 4 rồi học .",negative,training_program,"môn_học cần được phân_bố hợp_lý hơn , nên để năm 4 rồi học ."
hiện giờ em chưa có cách học đúng đắng .,negative,others,hiện_giờ em chưa có cách học đúng đắng .
"giảng hay , nhiệt tình .",positive,lecturer,"giảng hay , nhiệt_tình ."
"thầy lên lớp rất đầy đủ , không nghỉ buổi nào .",positive,lecturer,"thầy lên_lớp rất đầy_đủ , không nghỉ buổi nào ."
cô nhiệt tình dạy rất dễ hiêu .,positive,lecturer,cô nhiệt_tình dạy rất dễ hiêu .
giải đáp các thắc mắc nhanh và chi tiết .,positive,lecturer,giải_đáp các thắc_mắc nhanh và chi_tiết .
"ra đề thi còn cẩu thả , không kiểm soát được các đáp án của câu hỏi .",negative,training_program,"ra đề thi còn cẩu_thả , không kiểm_soát được các đáp_án của câu hỏi ."
"cần chỉ cho sinh viên cách làm bài khó , không nên giải chi tiết .",negative,facility,"cần chỉ cho sinh_viên cách làm bài khó , không nên giải chi_tiết ."
"cung cấp thêm giáo trình , tài liệu môn học .",negative,training_program,"cung_cấp thêm giáo_trình , tài_liệu môn_học ."
tránh tình trạng bị trùng lịch học và gom lớp vào sáng thứ 7 gây mất buổi học của sinh viên .,negative,training_program,tránh tình_trạng bị trùng lịch học và gom lớp vào sáng thứ 7 gây mất buổi học của sinh_viên .
nhiều bài quá .,negative,training_program,nhiều bài quá .
phương pháp dạy của thầy hay khiến sinh viên chủ động và tránh sinh viên ngủ trong lớp .,positive,lecturer,phương_pháp dạy của thầy hay khiến sinh_viên chủ_động và tránh sinh_viên ngủ trong lớp .
"thầy giảng dạy nhiệt tình , tương tác rất hiệu quả , cung cấp nền tảng kiến thức rõ ràng , vững vàng cho lớp .",positive,lecturer,"thầy giảng_dạy nhiệt_tình , tương_tác rất hiệu_quả , cung_cấp nền_tảng kiến_thức rõ_ràng , vững_vàng cho lớp ."
thầy nói chuyện chưa nghe rõ cho lắm .,negative,lecturer,thầy nói_chuyện chưa nghe rõ cho lắm .
thầy chỉ làm việc của thầy .,negative,lecturer,thầy chỉ làm_việc của thầy .
đôi lúc sợ sợ thầy colonsad .,negative,lecturer,đôi lúc sợ sợ thầy colonsad .
chúc thầy nhiều sức khỏe !,positive,others,chúc thầy nhiều sức_khỏe !
"thầy dạy dễ hiểu , nhiệt tình .",positive,lecturer,"thầy dạy dễ hiểu , nhiệt_tình ."
"ít được giao tiếp với giảng viên , giảng viên ít khi lên lớp .",negative,lecturer,"ít được giao_tiếp với giảng_viên , giảng_viên ít khi lên_lớp ."
cách dạy hoàn toàn không phù hợp ( giảng viên tuy có kiến thức nhưng không có cách truyền đạt ) .,negative,lecturer,cách dạy hoàn_toàn không phù_hợp ( giảng_viên tuy có kiến_thức nhưng không có cách truyền_đạt ) .
"giảng viên dạy hay , thu hút , tận tâm với sinh viên .",positive,lecturer,"giảng_viên dạy hay , thu_hút , tận_tâm với sinh_viên ."
thầy dạy tốt em thích thầy .,positive,lecturer,thầy dạy tốt em thích thầy .
"môn học còn khá nặng nề , không ứng dụng thực tiễn cũng như không phục vụ cho chuyên nghành , theo em nghĩ , môn giải tích thật sự không cần thiết lắm .",negative,training_program,"môn_học còn khá nặng_nề , không ứng_dụng thực_tiễn cũng như_không phục_vụ cho chuyên nghành , theo em nghĩ , môn giải_tích thật_sự không cần_thiết lắm ."
"có vài máy hư trong phòng thực hành , cần khắc phục lại .",negative,facility,"có vài máy hư trong phòng thực_hành , cần khắc_phục lại ."
"giảng viên có khả năng truyền đạt cực tốt , em cực thích .",positive,lecturer,"giảng_viên có khả_năng truyền_đạt cực tốt , em cực thích ."
"cần theo dõi sinh viên kỹ càng hơn , điểm danh thường xuyên .",negative,lecturer,"cần theo_dõi sinh_viên kỹ_càng hơn , điểm_danh thường_xuyên ."
chương trình học về môn học này rất hợp lý cho sinh viên .,positive,training_program,chương_trình học về môn_học này rất hợp_lý cho sinh_viên .
thường xuyên cho bài tập về nhà để củng cố kiến thức cho sinh viên .,positive,lecturer,thường_xuyên cho bài_tập về nhà để củng_cố kiến_thức cho sinh_viên .
không có điều gì !,neutral,others,không có điều gì !
"thầy không sử dụng micro khi giảng bài , em nghe không rõ bài giảng .",negative,lecturer,"thầy không sử_dụng micro khi giảng bài , em nghe không rõ bài giảng ."
phòng thực hành chưa có chất lượng .,negative,facility,phòng thực_hành chưa có chất_lượng .
"môn học liên hệ thực tế , liên kết với đồ án hơn .",negative,training_program,"môn_học liên_hệ thực_tế , liên_kết với đồ_án hơn ."
giáo viên giảng dạy dễ hiểu và tận tâm .,positive,lecturer,giáo_viên giảng_dạy dễ hiểu và tận_tâm .
thầy nói ngoài lề hơi nhiều .,negative,lecturer,thầy nói ngoài_lề hơi nhiều .
thường xuyên dạy quá giờ .,negative,lecturer,thường_xuyên dạy quá giờ .
"giảng viên nhiệt tình , bài tập đa dạng , phương pháp học thú vị .",positive,lecturer,"giảng_viên nhiệt_tình , bài_tập đa_dạng , phương_pháp học thú_vị ."
"cần thay đổi , bổ sung các chương trình hỗ trợ thực hành trên máy .",negative,training_program,"cần thay_đổi , bổ_sung các chương_trình hỗ_trợ thực_hành trên máy ."
em có ý kiến là hãy thi môn này trên máy tính với phần mềm vẽ chúng .,negative,training_program,em có ý_kiến là hãy thi môn này trên máy_tính với phần_mềm vẽ chúng .
là người cô rất có tâm .,positive,lecturer,là người cô rất có tâm .
"giảng viên rất tận tâm , nỗ lực trong việc giảng dạy .",positive,lecturer,"giảng_viên rất tận_tâm , nỗ_lực trong việc giảng_dạy ."
"thầy rất tận tâm , về lý thuyết thầy giảng rất hay và tuyệt đối , song về bài tập thì ngược lại , thầy nói chỉ sơ qua , như là mặc định các sinh viên đều đã biết tính toán .",negative,lecturer,"thầy rất tận_tâm , về lý_thuyết thầy giảng rất hay và tuyệt_đối , song về bài_tập thì ngược_lại , thầy nói chỉ sơ qua , như là mặc_định các sinh_viên đều đã biết tính_toán ."
em có thêm một số đề nghị để cải tiến doubledot thêm kênh để trao đổi cho môn học .,negative,lecturer,em có thêm một_số đề_nghị để cải_tiến doubledot thêm kênh để trao_đổi cho môn_học .
chưa có tài liệu học tập cho sinh viên .,negative,training_program,chưa có tài_liệu học_tập cho sinh_viên .
thầy tạo điều kiện cho sinh viên học tập và rất nhiệt tình giảng dạy .,positive,lecturer,thầy tạo điều_kiện cho sinh_viên học_tập và rất nhiệt_tình giảng_dạy .
nội dung của phần thực hành thật ra quá ít cho với đồ án .,negative,training_program,nội_dung của phần thực_hành thật_ra quá ít cho với đồ_án .
nhiệt tình và rất chú tâm trong công việc giảng dạy đối với sinh viên .,positive,lecturer,nhiệt_tình và rất chú_tâm trong công_việc giảng_dạy đối_với sinh_viên .
giảng viên luôn đến đúng giờ .,positive,lecturer,giảng_viên luôn đến đúng giờ .
thầy dạy quá khó hiểu .,negative,lecturer,thầy dạy quá khó hiểu .
cần cải thiện nhiều .,negative,others,cần cải_thiện nhiều .
giảng viên không hướng dẫn nhiều cũng như không quan sát theo dõi quá trình thực hành của sinh viên .,negative,lecturer,giảng_viên không hướng_dẫn nhiều cũng như không quan_sát theo_dõi quá_trình thực_hành của sinh_viên .
cô cầm micro hơi sát nên nghe hơi nhói tai một xíu ( tích cực ) .,negative,lecturer,cô cầm micro hơi sát nên nghe hơi nhói tai một xíu ( tích_cực ) .
số thời gian thầy nghỉ rất nhiều và không báo trước cho sinh viên .,negative,lecturer,số thời_gian thầy nghỉ rất nhiều và không báo trước cho sinh_viên .
"còn bình thường đến lớp thầy chỉ làm việc trên máy của thầy , không nói gì cả .",negative,lecturer,"còn bình_thường đến lớp thầy chỉ làm_việc trên máy của thầy , không nói gì cả ."
thầy dạy hay nhiệt tình .,positive,lecturer,thầy dạy hay nhiệt_tình .
"thầy rất nhiệt tình , thẳng thắn .",positive,lecturer,"thầy rất nhiệt_tình , thẳng_thắn ."
tất cả đều phải sử dụng trên phần mềm mô phỏng proteus .,negative,others,tất_cả đều phải sử_dụng trên phần_mềm mô_phỏng proteus .
"thầy dạy nhiều bài học không chỉ là bài học , rất ý nghĩa .",positive,lecturer,"thầy dạy nhiều bài_học không chỉ là bài_học , rất ý_nghĩa ."
"dạy học sinh hỏi thì nói "" tui không biết "" .",negative,lecturer,"dạy_học_sinh hỏi thì nói "" tui không biết "" ."
"thầy đảm bảo giờ lên lớp , nhiệt tình .",positive,lecturer,"thầy đảm_bảo giờ lên_lớp , nhiệt_tình ."
"phòng thực hành nên bố trí hợp lý , đủ máy móc thực hành .",negative,facility,"phòng thực_hành nên bố_trí hợp_lý , đủ máy_móc thực_hành ."
bỏ tổ chức thi lý thuyết cuối kỳ vì làm đồ án mất khá nhiều thời gian .,negative,training_program,bỏ tổ_chức thi lý_thuyết cuối kỳ vì làm đồ_án mất khá nhiều thời_gian .
thầy nói nhanh quá .,negative,lecturer,thầy nói nhanh quá .
thầy dạy rất hay rất vui .,positive,lecturer,thầy dạy rất hay rất vui .
cách dạy của giảng viên chưa thực sự phù hợp với bản thân .,negative,lecturer,cách dạy của giảng_viên chưa thực_sự phù_hợp với bản_thân .
giáo viên rất gần gũi với học sinh .,positive,lecturer,giáo_viên rất gần_gũi với học_sinh .
"kiến thức thu được trong từng môn học thì rời rạc , học xong sinh viên có cảm giác như cưỡi ngựa xem hoa .",negative,training_program,"kiến_thức thu được trong từng môn_học thì rời_rạc , học xong sinh_viên có cảm_giác như cưỡi ngựa xem hoa ."
chưa tốt về mặt kiến thức .,negative,lecturer,chưa tốt về mặt kiến_thức .
giảng hơi chậm .,negative,lecturer,giảng hơi chậm .
giao đề tài không công bằng giữa các nhóm .,negative,lecturer,giao đề_tài không công_bằng giữa các nhóm .
"cô tận tâm , nhiệt tình , giúp học sinh có kết quả tốt .",positive,lecturer,"cô tận_tâm , nhiệt_tình , giúp học_sinh có kết_quả tốt ."
lớp ồn đến nỗi không muốn đi học .,negative,others,lớp ồn đến_nỗi không muốn đi học .
giảng viên luôn đến lớp trễ từ nửa tiếng trở lên .,negative,lecturer,giảng_viên luôn đến lớp trễ từ nửa tiếng trở lên .
"đa phần các bạn đều không thể hoàn thành trên lớp và phải về nhà làm thêm , nhưng hình thức làm bài ở nhà thì phải trình bày trên một file word nên rất bất tiện cho giáo viên chấm bài cũng như gia tăng tỉ lệ copy bài .",negative,others,"đa_phần các bạn đều không_thể hoàn_thành trên lớp và phải về nhà làm thêm , nhưng hình_thức làm bài ở nhà thì phải trình_bày trên một file word nên rất bất_tiện cho giáo_viên chấm bài cũng như gia_tăng tỉ_lệ copy bài ."
cần có thời gian hợp lý hơn khi học thực hành sau lý thuyết .,negative,training_program,cần có thời_gian hợp_lý hơn khi học thực_hành sau lý_thuyết .
"cô dễ thương , dạy có tâm .",positive,lecturer,"cô dễ_thương , dạy có tâm ."
vì lịch thực hành không được sắp xếp từ đầu dẫn đến trùng lịch môn học khác .,negative,training_program,vì lịch thực_hành không được sắp_xếp từ đầu dẫn đến trùng lịch môn_học khác .
"chưa nhiều kiếm thức thêm , nâng cao ngoài cơ bản của môn học .",negative,lecturer,"chưa nhiều kiếm thức thêm , nâng cao ngoài cơ_bản của môn_học ."
cô giáo dạy nhiệt tình .,positive,lecturer,cô_giáo dạy nhiệt_tình .
không hiểu bài cho lắm .,negative,others,không hiểu bài cho lắm .
"chương trình học khá nặng so với sinh viên khoa khác ( seminar , bài tập về nhà , đồ án lớn , thi cuối kỳ , dot ) .",negative,lecturer,"chương_trình học khá nặng so với sinh_viên khoa khác ( seminar , bài_tập về nhà , đồ_án lớn , thi cuối kỳ , dot ) ."
"thầy hiền , tử tế .",positive,lecturer,"thầy hiền , tử_tế ."
"bài giảng , bài tập đầy đủ , dư cho sinh viên tham khảo , ôn luyện .",positive,training_program,"bài giảng , bài_tập đầy_đủ , dư cho sinh_viên tham_khảo , ôn_luyện ."
thực hành luôn đi trước lý thuyết .,negative,training_program,thực_hành luôn đi trước lý_thuyết .
nêu rõ các việc cần làm và chuẩn bị .,negative,lecturer,nêu rõ các việc cần làm và chuẩn_bị .
"phong cách giảng dạy thoải mái , vui vẻ giúp sinh viên dễ tiếp thu kiến thức và ghi nhớ .",positive,lecturer,"phong_cách giảng_dạy thoải_mái , vui_vẻ giúp sinh_viên dễ tiếp_thu kiến_thức và ghi_nhớ ."
"thầy dạy lôi cuốn , cung cấp nhiều kỹ năng nghề nghiệp .",positive,lecturer,"thầy dạy lôi_cuốn , cung_cấp nhiều kỹ_năng nghề_nghiệp ."
nhiệt tình hướng dẫn sinh viên .,positive,lecturer,nhiệt_tình hướng_dẫn sinh_viên .
nhưng lớp trường lại chậm trể trong việc đưa về cho sinh viên thế nên cần phân bổ tài liệu trực tiếp cho sinh viên .,negative,lecturer,nhưng lớp trường lại chậm trể trong việc đưa về cho sinh_viên thế nên cần phân_bổ tài_liệu trực_tiếp cho sinh_viên .
thay đổi cách giảng dạy giờ thực hành .,negative,training_program,thay_đổi cách giảng_dạy giờ thực_hành .
"cô tận tâm , nhiệt tình với sinh viên , truyền đạt kiến thức dễ hiểu .",positive,lecturer,"cô tận_tâm , nhiệt_tình với sinh_viên , truyền_đạt kiến_thức dễ hiểu ."
vui vẻ hài hước .,positive,lecturer,vui_vẻ hài_hước .
giảng viên không có khả năng truyền đạt kiến thức cũng như cách phân bố giảng dạy cho phù hợp .,negative,lecturer,giảng_viên không có khả_năng truyền_đạt kiến_thức cũng như cách phân_bố giảng_dạy cho phù_hợp .
"giảng viên hơi khó tính với sinh viên , giảng bài lan man gây khó hiểu cho sinh viên .",negative,lecturer,"giảng_viên hơi khó_tính với sinh_viên , giảng bài lan_man gây khó hiểu cho sinh_viên ."
mong có sự hỗ trợ trong thực hành .,negative,lecturer,mong có sự hỗ_trợ trong thực_hành .
"trường uit , cách riêng khoa truyền thông và mạng máy tính rất may mắn có được người thầy như thầy x .",positive,lecturer,"trường uit , cách riêng khoa truyền_thông và mạng máy_tính rất may_mắn có được người thầy như thầy x ."
"giảng viên dạy dễ hiểu , nhiệt tình .",positive,lecturer,"giảng_viên dạy dễ hiểu , nhiệt_tình ."
"cô nhiệt tình , nhưng cách trình bày của cô , nội dung cô nói khó hiểu quá !",negative,lecturer,"cô nhiệt_tình , nhưng cách trình_bày của cô , nội_dung cô nói_khó hiểu quá !"
giảng bài nhiệt huyết và tận tâm .,positive,lecturer,giảng bài nhiệt_huyết và tận_tâm .
cô lo sợ sinh viên sẽ không thể hiểu được nhưng thật sự thì để đỗ được đại học thì mức độ tư duy của các sinh viên đã tương đối tốt .,neutral,lecturer,cô lo_sợ sinh_viên sẽ không_thể hiểu được nhưng thật_sự thì để đỗ được đại_học thì mức_độ tư_duy của các sinh_viên đã tương_đối tốt .
giảng viên giảng dạy còn khó hiểu .,negative,lecturer,giảng_viên giảng_dạy còn khó hiểu .
"bài tập cô cho dễ quá , không khuyến khích được tinh thần tự học của các bạn .",negative,training_program,"bài_tập cô cho dễ quá , không khuyến_khích được tinh_thần tự học của các bạn ."
rất hiểu tâm lý sinh viên .,positive,lecturer,rất hiểu tâm_lý sinh_viên .
làm bài tập về nhà .,neutral,training_program,làm bài_tập về nhà .
thầy có phương pháp giảng dạy hay .,positive,lecturer,thầy có phương_pháp giảng_dạy hay .
cách thầy truyền đạt kiến thức rất hay và dễ hiểu .,positive,lecturer,cách thầy truyền_đạt kiến_thức rất hay và dễ hiểu .
"thầy nhiệt tình , tận tâm .",positive,lecturer,"thầy nhiệt_tình , tận_tâm ."
nội dung học cần cải thiện .,negative,training_program,nội_dung học cần cải_thiện .
thầy wzjwz263 dạy tận tâm lắm .,positive,lecturer,thầy wzjwz263 dạy tận_tâm lắm .
giảng viên giảng dạy còn kém hiệu quả khi mà ở trên thì giảng viên giảng dạy còn ở dưới thì sinh viên làm việc riêng .,negative,lecturer,giảng_viên giảng_dạy còn kém hiệu_quả khi mà ở trên thì giảng_viên giảng_dạy còn ở dưới thì sinh_viên làm_việc riêng .
"nên có phương pháp thông báo đến sinh viên về lịch học trong thời gian gần buổi học , hơn nữa tránh trùng lắp với môn học khác .",negative,training_program,"nên có phương_pháp thông_báo đến sinh_viên về lịch học trong thời_gian gần buổi học , hơn nữa tránh trùng_lắp với môn_học khác ."
sao chưa thấy đi dạy bữa nào ?,negative,lecturer,sao chưa thấy đi dạy bữa nào ?
"thầy luôn dặn chúng em phải trăn trở về tương lai , phải có sự phấn đấu , hoàn thiện tốt nhất mọi công việc .",positive,lecturer,"thầy luôn dặn chúng em phải trăn_trở về tương_lai , phải có sự phấn_đấu , hoàn_thiện tốt nhất mọi công_việc ."
thầy dạy rất hay giải nhiều bài tập .,positive,lecturer,thầy dạy rất hay giải nhiều bài_tập .
"nhiệt tình với sinh viên , bài giảng hay .",positive,lecturer,"nhiệt_tình với sinh_viên , bài giảng hay ."
lớp học đông nên ồn ào và khó tiếp thu .,negative,training_program,lớp_học đông nên ồn_ào và khó tiếp_thu .
cũng ổn .,neutral,others,cũng ổn .
"nhiệt tình , hăng hái , kỹ lưỡng .",positive,lecturer,"nhiệt_tình , hăng_hái , kỹ_lưỡng ."
"ít hướng dẫn sinh viên thực hành , ra bài rồi để đó , toàn để sinh viên tự làm , đi học cũng như không đi , ai làm gì đó làm .",negative,lecturer,"ít hướng_dẫn sinh_viên thực_hành , ra bài rồi để đó , toàn để sinh_viên tự làm , đi học cũng như_không đi , ai làm gì đó làm ."
thầy nhiệt tình chỉ bài .,positive,lecturer,thầy nhiệt_tình chỉ bài .
thầy dạy rất hay và vui .,positive,lecturer,thầy dạy rất hay và vui .
kỳ này môn java web thì tinh thần giảng dạy của thầy cũng không hề khá hơn chút nào .,negative,lecturer,kỳ này môn java web thì tinh_thần giảng_dạy của thầy cũng không hề khá hơn chút nào .
"tận tâm , chu đáo và luôn theo sát giúp sinh viên đạt kết quả tốt trong môn học .",positive,lecturer,"tận_tâm , chu_đáo và luôn theo sát giúp sinh_viên đạt kết_quả tốt trong môn_học ."
"cô giảng bài rất kỹ , có ví dụ minh họa cụ thể .",positive,lecturer,"cô giảng bài rất kỹ , có ví_dụ minh_họa cụ_thể ."
nói hơi nhiều .,negative,lecturer,nói hơi nhiều .
cô nhiệt tình dễ thương .,positive,lecturer,cô nhiệt_tình dễ_thương .
nhóm trưởng không làm thì đồ án bỏ không .,negative,training_program,nhóm trưởng không làm thì đồ_án bỏ không .
đây là môn học kỹ năng nên không cần thiết khi kiểm tra bằng hình thức thi tự luận mà nên đánh giá bằng đồ án .,negative,training_program,đây là môn_học kỹ_năng nên không cần_thiết khi kiểm_tra bằng hình_thức thi tự luận mà nên đánh_giá bằng đồ_án .
cô nhiệt tình giảng dạy và hướng dẫn chúng em phương pháp để học tập tốt không chỉ riêng cho môn này mà còn hướng chúng em học làm sao để sau này ra đi làm cho tốt .,positive,lecturer,cô nhiệt_tình giảng_dạy và hướng_dẫn chúng em phương_pháp để học_tập tốt không chỉ riêng cho môn này mà còn hướng chúng em học làm_sao để sau_này ra đi làm cho tốt .
em nghĩ cô đừng nên cho các bạn lên bảng giải bài nữa .,negative,lecturer,em nghĩ cô đừng nên cho các bạn lên bảng giải bài nữa .
truyền thụ hết kiến thức cho sinh viên .,positive,lecturer,truyền thụ hết kiến_thức cho sinh_viên .
"thương , hài hước , lấy ví dụ thực tiễn , biết phân bố hợp lý giờ giảng dạy xen lẫn trò chuyện cùng học sinh .",positive,lecturer,"thương , hài_hước , lấy ví_dụ thực_tiễn , biết phân_bố hợp_lý giờ giảng_dạy xen_lẫn trò_chuyện cùng học_sinh ."
giảng viên hay lên lớp muộn .,negative,lecturer,giảng_viên hay lên_lớp muộn .
thầy xem bên phần của thầy wzjwz139 nha thầy .,neutral,lecturer,thầy xem bên phần của thầy wzjwz139 nha thầy .
thấy cho nhiều bài tập hay giúp sinh viên biết được nhiều kỹ thuật .,positive,lecturer,thấy cho nhiều bài_tập hay giúp sinh_viên biết được nhiều kỹ_thuật .
"nhiệt tình với sinh viên , lên lớp đúng giờ .",positive,lecturer,"nhiệt_tình với sinh_viên , lên_lớp đúng giờ ."
"cung cấp thêm tài liệu môn học cho sinh viên , sử dụng hợp lý giờ giảng trên lớp .",negative,lecturer,"cung_cấp thêm tài_liệu môn_học cho sinh_viên , sử_dụng hợp_lý giờ giảng trên lớp ."
"em nghĩ việc học sẽ hiệu quả hơn , khi thầy dạy chúng em đầy đủ tiết .",negative,lecturer,"em nghĩ việc học sẽ hiệu_quả hơn , khi thầy dạy chúng em đầy_đủ tiết ."
giảng viên thân thiện với sinh viên .,positive,lecturer,giảng_viên thân_thiện với sinh_viên .
thầy đúng giờ .,positive,lecturer,thầy đúng giờ .
dạy nhiều kiến thức ngoài hữu ích .,positive,lecturer,dạy nhiều kiến_thức ngoài hữu_ích .
"chưa thực sự đi sâu vào nội dung môn học , phần lớn thời gian trên lớp làm bài thực hành mất rồi .",negative,lecturer,"chưa thực_sự đi_sâu vào nội_dung môn_học , phần_lớn thời_gian trên lớp làm bài thực_hành mất rồi ."
thầy giảng khá hay .,positive,lecturer,thầy giảng khá hay .
để sinh viên tự nghiên cứu quá nhiều .,negative,training_program,để sinh_viên tự nghiên_cứu quá nhiều .
nhiệt tình và quan tâm đên sinh viên hơn .,negative,lecturer,nhiệt_tình và quan_tâm đên sinh_viên hơn .
bài tập hơi khó .,negative,training_program,bài_tập hơi khó .
"thầy dạy rất nhiệt tình , hay và dễ hiểu .",positive,lecturer,"thầy dạy rất nhiệt_tình , hay và dễ hiểu ."
"giảng viên dạy nhiệt tình , tận tình giúp đỡ .",positive,lecturer,"giảng_viên dạy nhiệt_tình , tận_tình giúp_đỡ ."
"tuy nhiên thầy chưa nhấn mạnh công thức môn học cùng với việc thầy giảng những ví dụ quá nhanh , ví dụ đầu tiên khá khó , nên em chưa thể nắm kịp những kiến thức mới .",negative,lecturer,"tuy_nhiên thầy chưa nhấn_mạnh công_thức môn_học cùng với việc thầy giảng những ví_dụ quá nhanh , ví_dụ đầu_tiên khá khó , nên em chưa thể nắm kịp những kiến_thức mới ."
nhiệt tình giúp đỡ sinh viên và tạo sinh viên có nơi để nâng cao kỹ năng lập trình .,positive,lecturer,nhiệt_tình giúp_đỡ sinh_viên và tạo sinh_viên có nơi để nâng cao kỹ_năng lập_trình .
"thầy vui tính nà , nhiệt tình , cách giảng dạy dễ hiểu !",positive,lecturer,"thầy vui_tính nà , nhiệt_tình , cách giảng_dạy dễ hiểu !"
"giảng viên vui vẻ , tận tâm .",positive,lecturer,"giảng_viên vui_vẻ , tận_tâm ."
cần hướng dẫn sinh viên ôn tập .,negative,lecturer,cần hướng_dẫn sinh_viên ôn_tập .
"giảng viên dạy kỹ , dạy sâu .",positive,lecturer,"giảng_viên dạy kỹ , dạy sâu ."
thầy chỉ bảo sinh viên tận tình .,positive,lecturer,thầy chỉ_bảo sinh_viên tận_tình .
nên khắc phục thái độ của giảng viên .,negative,lecturer,nên khắc_phục thái_độ của giảng_viên .
"nếu có thể , xin thầy cho chúng em những bài tập có đáp án .",negative,lecturer,"nếu có_thể , xin thầy cho chúng em những bài_tập có đáp_án ."
và còn rất nhiều vấn đề khác .,negative,others,và còn rất nhiều vấn_đề khác .
"thầy cung cấp nhiều thông tin hay , hữu ích đối với đồ án .",negative,lecturer,"thầy cung_cấp nhiều thông_tin hay , hữu_ích đối_với đồ_án ."
thầy cô giáo dạy rất nhiệt tình và vui vẻ .,positive,lecturer,thầy cô_giáo dạy rất nhiệt_tình và vui_vẻ .
"do học kỳ này em không thể đến lớp học môn này , nên em không thể đưa ra ý kiến gì thêm .",neutral,others,"do học_kỳ này em không_thể đến lớp_học môn này , nên em không_thể đưa ra ý_kiến gì thêm ."
"không nên để xảy ra lỗi trong yêu cầu thực hành , không thực hành phần nào chưa học lý thuyết .",negative,training_program,"không nên để xảy ra lỗi trong yêu_cầu thực_hành , không thực_hành phần_nào chưa học lý_thuyết ."
thầy wzjwz21 truyền đạt cả lớp học không ai hiểu là thầy đang dạy gì !,negative,lecturer,thầy wzjwz21 truyền_đạt cả lớp_học không ai hiểu là thầy đang dạy gì !
bài giảng không thu hút được học sinh .,negative,training_program,bài giảng không thu_hút được học_sinh .
