sentence,sentiment,topic,sentence_seg,gemini_sentiment,gemini_topic
cần cập nhật giáo trình giảng dạy slide đang giảng dạy là từ năm 2000 .,negative,training_program,cần cập_nhật giáo_trình giảng_dạy slide đang giảng_dạy là từ năm 2000 .,negative,training_program
phần thực hành không liên quan tới lý thuyết .,negative,training_program,phần thực_hành không liên_quan tới lý_thuyết .,negative,training_program
"hình thức đánh giá môn học theo em là chưa hợp lý vì môn học này đánh giá qua quá nhiều hình thức doubledot thi giữa kỳ , thi cuối kỳ , thực hành , đồ án môn học .",negative,training_program,"hình_thức đánh_giá môn_học theo em là chưa hợp_lý vì môn_học này đánh_giá qua quá nhiều hình_thức doubledot thi giữa kỳ , thi cuối kỳ , thực_hành , đồ_án môn_học .",negative,training_program
cần có nhiều bài tập và những buổi bài tập để các sinh viên hiểu được bài .,negative,training_program,cần có nhiều bài_tập và những buổi bài_tập để các sinh_viên hiểu được bài .,negative,training_program
nội dung của môn học nên được cải tiến và cập nhật hơn nữa để bắt kịp với xu hướng hiện nay của thế giới .,negative,training_program,nội_dung của môn_học nên được cải_tiến và cập_nhật hơn nữa để bắt kịp với xu_hướng hiện_nay của thế_giới .,negative,training_program
bài tập cho hơi khó .,negative,training_program,bài_tập cho hơi khó .,negative,training_program
em mong nhà trường xem lại bài thi thi đầu vào môn anh văn của nhà trường .,negative,training_program,em mong nhà_trường xem_lại bài thi thi đầu_vào môn anh văn của nhà_trường .,negative,training_program
"không nên đánh giá tập trung vào một bài thi cuối kỳ duy nhất , chia thành nhiều phần doubledot 60% kiến thức ai doubledot trong đó có thể kiểm tra giấy như hiện nay bài tập lớn 40% một đồ án vận dụng trí tuệ nhân tạo ( ai ) bài thi cuối kỳ không đảm bảo đánh giá đúng chất lượng sinh viên doubledot đề thi cho những câu dễ , chỉ mất thời gian để trình bày hơn là thời gian suy nghĩ .",negative,training_program,"không nên đánh_giá tập_trung vào một bài thi cuối kỳ duy_nhất , chia thành nhiều phần doubledot 60 % kiến_thức ai doubledot trong đó có_thể kiểm_tra giấy như hiện_nay bài_tập lớn 40 % một đồ_án vận_dụng trí_tuệ nhân_tạo ( ai ) bài thi cuối kỳ không đảm_bảo đánh_giá đúng chất_lượng sinh_viên doubledot đề thi cho những câu dễ , chỉ mất thời_gian để trình_bày hơn là thời_gian suy_nghĩ .",negative,training_program
tài liệu phục vụ học tập còn ít .,negative,training_program,tài_liệu phục_vụ học_tập còn ít .,negative,training_program
đề quá khó !,negative,training_program,đề quá khó !,negative,training_program
"thời gian tập luyện quá ít , kỹ thuật khá khó với những bạn lần đậu tiếp cận .",negative,training_program,"thời_gian tập_luyện quá ít , kỹ_thuật khá khó với những bạn lần đậu tiếp_cận .",negative,training_program
các bài thực hành nên bám sát thực tế và có ứng dụng thực tiễn .,negative,training_program,các bài thực_hành nên bám sát thực_tế và có ứng_dụng thực_tiễn .,neutral,training_program
nên khuyến khích kỹ năng nghe nói .,negative,training_program,nên khuyến_khích kỹ_năng nghe nói .,neutral,training_program
"cần nhiều đề thi để sinh viên có thế ôn luyện , làm quen với cấu trúc đề thi !",negative,training_program,"cần nhiều đề thi để sinh_viên có thế ôn_luyện , làm_quen với cấu_trúc đề thi !",neutral,training_program
chưa sâu về nội dung .,negative,training_program,chưa sâu về nội_dung .,negative,training_program
phần học lý thuyết suông .,negative,training_program,phần học lý_thuyết suông .,negative,training_program
kinh mong nhà trường làm rõ việc này và đảm bảo công bằng cho sinh viên !,negative,training_program,kinh mong nhà_trường làm rõ việc này và đảm_bảo công_bằng cho sinh_viên !,negative,others
cho sinh viên thực hành một đề bài quản lý thông tin trên nhiều ngôn ngữ do sinh viên tự chọn để sinh viên thấy được mối liên quan của môn học với những môn khác cũng như với thực tế .,negative,training_program,cho sinh_viên thực_hành một đề_bài quản_lý thông_tin trên nhiều ngôn_ngữ do sinh_viên tự chọn để sinh_viên thấy được mối liên_quan của môn_học với những môn khác cũng như với thực_tế .,positive,training_program
không biết gì sau khi học môn này .,negative,training_program,không biết gì sau khi học môn này .,negative,training_program
đối với môn anh văn tránh sa đà vào chỉ luyện tập kỹ năng về đọc và viết mà nên thực hành kỹ năng nghe nói nhiều hơn và hiệu quả hơn .,negative,training_program,đối_với môn anh văn tránh sa_đà vào chỉ luyện_tập kỹ_năng về đọc và viết mà nên thực_hành kỹ_năng nghe nói nhiều hơn và hiệu_quả hơn .,negative,training_program
nên có nhiều tiết giải bài tập hơn .,negative,training_program,nên có nhiều tiết giải bài_tập hơn .,neutral,training_program
"nên có một số bài thực hành về source code luôn , bỏ mấy bài lý thuyết linh tinh đi .",negative,training_program,"nên có một_số bài thực_hành về source code luôn , bỏ mấy bài lý_thuyết linh_tinh đi .",negative,training_program
"em nghĩ chỉ cần thi là đủ , chứ em đi học mấy lần , mà thấy thầy có dạy gì đâu .",negative,training_program,"em nghĩ chỉ cần thi là đủ , chứ em đi học mấy lần , mà thấy thầy có dạy gì đâu .",negative,lecturer
cần có thêm vài ví dụ cụ thể .,negative,training_program,cần có thêm vài ví_dụ cụ_thể .,negative,training_program
sinh viên than phiền nhiều sau 3 tuần thì mới có giảng viên khác thay thế .,negative,training_program,sinh_viên than_phiền nhiều sau 3 tuần thì mới có giảng_viên khác thay_thế .,negative,lecturer
sinh viên không tiếp thu kịp cũng như không hiểu gì .,negative,training_program,sinh_viên không tiếp_thu kịp cũng như_không hiểu gì .,negative,lecturer
sử dụng quá nhiều tiếng anh để giảng bài trong khi sinh viên ngồi dưới chẳng hiểu là bao nhiêu .,negative,training_program,sử_dụng quá nhiều tiếng anh để giảng bài trong khi sinh_viên ngồi dưới chẳng hiểu là bao_nhiêu .,negative,lecturer
nên mang cấp visual lên bản 2013 hình thức kiểm tra tự luận có lẽ sẽ không hợp lý .,negative,training_program,nên mang cấp visual lên bản 2013 hình_thức kiểm_tra tự luận có_lẽ sẽ không hợp_lý .,negative,training_program
thực hành xong ít nhất 3 tuần lý thuyết mới học tới nên em có ý kiến nên phân bổ lại thời gian thực hành hoặc chọn nội dung thực hành cho phù hợp với tiến độ lý thuyết trên lớp .,negative,training_program,thực_hành xong ít_nhất 3 tuần lý_thuyết mới học tới nên em có ý_kiến nên phân_bổ lại thời_gian thực_hành hoặc chọn nội_dung thực_hành cho phù_hợp với tiến_độ lý_thuyết trên lớp .,negative,training_program
"môn học nên có thêm nhiều dạng bài tập để sinh viên nhớ lâu hơn và hiểu được nhiều dạng toán để khi gặp các bài tập , các bài kiểm tra không phải sợ dạng của nó .",negative,training_program,"môn_học nên có thêm nhiều dạng bài_tập để sinh_viên nhớ lâu hơn và hiểu được nhiều dạng toán để khi gặp các bài_tập , các bài kiểm_tra không phải sợ dạng của nó .",neutral,training_program
môn học cần vận dụng tối đa giữa lý thuyết và thực hành .,negative,training_program,môn_học cần vận_dụng tối_đa giữa lý_thuyết và thực_hành .,neutral,training_program
có cung cấp tài liệu cho sinh viên .,neutral,lecturer,có cung_cấp tài_liệu cho sinh_viên .,positive,training_program
giảng dạy thực tế .,neutral,lecturer,giảng_dạy thực_tế .,positive,lecturer
hoạt động cho mỗi nhóm lên thuyết trình về chủ đề đã được giao .,neutral,lecturer,hoạt_động cho mỗi nhóm lên thuyết_trình về chủ_đề đã được giao .,neutral,training_program
cách mà cô tiếp cận với sinh viên .,neutral,lecturer,cách mà cô tiếp_cận với sinh_viên .,neutral,lecturer
giờ lên lớp .,neutral,lecturer,giờ lên_lớp .,neutral,lecturer
có một ít áp lực .,neutral,lecturer,có một_ít áp_lực .,negative,training_program
phương pháp dạy học .,neutral,lecturer,phương_pháp dạy_học .,neutral,lecturer
thầy dạy khá ổn .,neutral,lecturer,thầy dạy khá ổn .,positive,lecturer
em không có ý kiến gì về cách giảng dạy của giảng viên .,neutral,lecturer,em không có ý_kiến gì về cách giảng_dạy của giảng_viên .,neutral,lecturer
trung bình .,neutral,others,trung_bình .,neutral,others
giữ nguyên hình thức cũ !,neutral,others,giữ nguyên_hình_thức cũ !,neutral,training_program
vì thời gian trong lớp tập trung hơn .,neutral,others,vì thời_gian trong lớp tập_trung hơn .,positive,training_program
phần ý kiến của em trong phần khảo sát thầy wzjwz7 em nói có liên quan đến thầy luôn .,neutral,others,phần ý_kiến của em trong phần khảo_sát thầy wzjwz7 em nói có liên_quan đến thầy luôn .,neutral,lecturer
kiến thức tổng hợp .,neutral,others,kiến_thức tổng_hợp .,neutral,training_program
hoạt động nhóm .,neutral,others,hoạt_động nhóm .,neutral,training_program
"bài tập thầy cho cũng đòi hỏi phải đến lớp , nghe giảng và phải hiểu thật sự mới làm được .",neutral,training_program,"bài_tập thầy cho cũng đòi_hỏi phải đến lớp , nghe giảng và phải hiểu thật_sự mới làm được .",neutral,training_program
thay vì đưa bài ra rồi bảo các bạn nộp kết quả .,neutral,training_program,thay_vì đưa bài ra rồi bảo các bạn nộp kết_quả .,negative,training_program
chỉ cần cho bài tập qua web môn học sinh viên sẽ làm .,neutral,training_program,chỉ cần cho bài_tập qua web môn_học_sinh_viên sẽ làm .,neutral,training_program
môn học này chất lượng bình thường .,neutral,training_program,môn_học này chất_lượng bình_thường .,neutral,training_program
"cho sinh viên nói với bạn , giao tiếp tất cả trong lớp bằng tiếng anh .",neutral,training_program,"cho sinh_viên nói với bạn , giao_tiếp tất_cả trong lớp bằng tiếng anh .",positive,training_program
chi tiết .,neutral,training_program,chi_tiết .,neutral,others
đề thi của thầy khá hay khi khai thác thực tiễn .,positive,facility,đề thi của thầy khá hay khi khai_thác thực_tiễn .,positive,training_program
cung cấp đầy đủ tài liệu học tập .,positive,lecturer,cung_cấp đầy_đủ tài_liệu học_tập .,positive,training_program
"thầy vui tính , dạy chuyên sâu , nhiệt tình .",positive,lecturer,"thầy vui_tính , dạy chuyên_sâu , nhiệt_tình .",positive,lecturer
"thầy tận tâm , nhiệt tình giải thích toàn bộ các câu hỏi mà sinh viên đưa ra .",positive,lecturer,"thầy tận_tâm , nhiệt_tình giải_thích toàn_bộ các câu hỏi mà sinh_viên đưa ra .",positive,lecturer
"thời gian được sử dụng tốt , hoạt động liên tục , giảng viên đến đúng giờ .",positive,lecturer,"thời_gian được sử_dụng tốt , hoạt_động liên_tục , giảng_viên đến đúng giờ .",positive,lecturer
"đến với lớp học của cô wzjwz216 , sinh viên có thể tự nhiên cải thiện kỹ năng giao tiếp của bản thân .",positive,lecturer,"đến với lớp_học của cô wzjwz216 , sinh_viên có_thể tự_nhiên cải_thiện kỹ_năng giao_tiếp của bản_thân .",positive,lecturer
giáo viên năng động .,positive,lecturer,giáo_viên năng_động .,positive,lecturer
"giáo viên dạy hay , bài giảng rất chi tiết , sinh viên viết bài nhiều nhưng dễ tiếp thu .",positive,lecturer,"giáo_viên dạy hay , bài giảng rất chi_tiết , sinh_viên viết bài nhiều nhưng dễ tiếp_thu .",positive,lecturer
rất nhiệt tình giúp đỡ học sinh .,positive,lecturer,rất nhiệt_tình giúp_đỡ học_sinh .,positive,lecturer
em rất hài lòng về phương pháp giảng dạy này .,positive,lecturer,em rất hài_lòng về phương_pháp giảng_dạy này .,positive,lecturer
tận tình giúp đở sinh viên .,positive,lecturer,tận_tình giúp đở sinh_viên .,positive,lecturer
giảng viên khuyến khích việc tự học và nghiên cứu ở sinh viên .,positive,lecturer,giảng_viên khuyến_khích việc tự học và nghiên_cứu ở sinh_viên .,positive,lecturer
"giáo viên dạy nhiệt tình , dễ hiểu , vui tính .",positive,lecturer,"giáo_viên dạy nhiệt_tình , dễ hiểu , vui_tính .",positive,lecturer
giảng dạy tốt và dạy đưa ra nhiều bài tập làm cho sinh viên cảm thấy dễ học và vận dụng được nhiều bài khác .,positive,lecturer,giảng_dạy tốt và dạy đưa ra nhiều bài_tập làm cho sinh_viên cảm_thấy dễ học và vận_dụng được nhiều bài khác .,positive,lecturer
thầy wzjwz210 rất nhiệt huyết và vui tính .,positive,lecturer,thầy wzjwz210 rất nhiệt_huyết và vui_tính .,positive,lecturer
có thầy dạy rất nhiệt tình và dễ hiểu .,positive,lecturer,có thầy dạy rất nhiệt_tình và dễ hiểu .,positive,lecturer
"giảng viên giảng hay , kỹ càng .",positive,lecturer,"giảng_viên giảng hay , kỹ_càng .",positive,lecturer
"giảng nhiệt tình , sử dụng tốt website môn học để thảo luận , trao đổi với sinh viên .",positive,lecturer,"giảng nhiệt_tình , sử_dụng tốt website môn_học để thảo_luận , trao_đổi với sinh_viên .",positive,lecturer
đề cập nhiều thông tin mở rộng ngoài xã hội .,positive,lecturer,đề_cập nhiều thông_tin mở_rộng ngoài xã_hội .,neutral,training_program
giảng viên dạy hay và sôi nổi .,positive,lecturer,giảng_viên dạy hay và sôi_nổi .,positive,lecturer
cách dạy đổi mới .,positive,lecturer,cách dạy đổi_mới .,positive,lecturer
đúng giờ và tận tình trong giảng dạy .,positive,lecturer,đúng giờ và tận_tình trong giảng_dạy .,positive,lecturer
"hòa đồng , vui tính , nhiệt tình .",positive,lecturer,"hòa đồng , vui_tính , nhiệt_tình .",positive,lecturer
thầy giảng dạy rất tốt .,positive,lecturer,thầy giảng_dạy rất tốt .,positive,lecturer
"giảng viên dạy nhiệt tình , vui vẻ .",positive,lecturer,"giảng_viên dạy nhiệt_tình , vui_vẻ .",positive,lecturer
"cách mà thầy hướng cho sinh viên tiếp cận kiến thức , tính chuyên nghiệp trong việc đưa ra những ví dụ thực tiễn phản ánh tốt kiến thức lý thuyết , hướng dẫn cho sinh viên cách tiếp cận với tài liệu tiếng anh .",positive,lecturer,"cách mà thầy hướng cho sinh_viên tiếp_cận kiến_thức , tính chuyên_nghiệp trong việc đưa ra những ví_dụ thực_tiễn phản_ánh tốt kiến_thức lý_thuyết , hướng_dẫn cho sinh_viên cách tiếp_cận với tài_liệu tiếng anh .",positive,lecturer
cô giảng bài kỹ !,positive,lecturer,cô giảng bài kỹ !,positive,lecturer
"thầy là người vui tính , giảng dạy rất nhiệt tình .",positive,lecturer,"thầy là người vui_tính , giảng_dạy rất nhiệt_tình .",positive,lecturer
dễ hiểu vui tính .,positive,lecturer,dễ hiểu vui_tính .,positive,lecturer
"giảng dạy nhiệt tình , tận tâm .",positive,lecturer,"giảng_dạy nhiệt_tình , tận_tâm .",positive,lecturer
"giọng nói của thầy truyền cảm , không gây cảm giác buồn ngủ .",positive,lecturer,"giọng nói của thầy truyền_cảm , không gây cảm_giác buồn_ngủ .",positive,lecturer
"thầy giảng rất tuyệt , có sức thu hút lạ kỳ .",positive,lecturer,"thầy giảng rất tuyệt , có sức thu_hút lạ kỳ .",positive,lecturer
"giáo viên dạy tâm huyết , có các hoạt động bổ ích liên quan tới môn học .",positive,lecturer,"giáo_viên dạy tâm_huyết , có các hoạt_động bổ_ích liên_quan tới môn_học .",positive,lecturer
thầy rất nhiệt tình và tận tâm trong việc chỉ dạy sinh viên .,positive,lecturer,thầy rất nhiệt_tình và tận_tâm trong việc chỉ dạy sinh_viên .,positive,lecturer
"giảng viên cho làm bài tập thích hợp , dễ hiểu .",positive,lecturer,"giảng_viên cho làm bài_tập thích_hợp , dễ hiểu .",positive,lecturer
"thầy rất dễ tính , lớp học vui tạo sự hào hứng , mỗi khi tới lớp .",positive,lecturer,"thầy rất dễ_tính , lớp_học vui tạo sự hào_hứng , mỗi khi tới lớp .",positive,lecturer
"thầy rất nhiệt tình , dạy rất hay , rất quan tâm học sinh .",positive,lecturer,"thầy rất nhiệt_tình , dạy rất hay , rất quan_tâm học_sinh .",positive,lecturer
giảng bài xúc tích .,positive,lecturer,giảng bài xúc tích .,positive,lecturer
luôn quan tâm sinh viên .,positive,lecturer,luôn quan_tâm sinh_viên .,positive,lecturer
thấy rất nhiệt tình giảng dạy .,positive,lecturer,thấy rất nhiệt_tình giảng_dạy .,positive,lecturer
"chị dạy hay , nhiệt tình , vui vẻ , dễ hiểu .",positive,lecturer,"chị dạy hay , nhiệt_tình , vui_vẻ , dễ hiểu .",positive,lecturer
"cô dạy rất có tâm , thương sinh viên .",positive,lecturer,"cô dạy rất có tâm , thương sinh_viên .",positive,lecturer
cô cứ bị đẹp và dễ thương thế nào ý .,positive,lecturer,cô cứ bị đẹp và dễ_thương thế_nào ý .,positive,lecturer
"chia sẻ các kỹ năng khi làm việc , chia sẻ kinh nghiệm trong ngành , thậm chí chỉ cách mua linh kiện mà không bị chặt chém giá cả .",positive,lecturer,"chia_sẻ các kỹ_năng khi làm_việc , chia_sẻ kinh_nghiệm trong ngành , thậm_chí chỉ cách mua linh_kiện mà không bị chặt chém giá_cả .",positive,lecturer
"thầy thân thiện , giải đáp thắc mắc và định hướng nghiên cứu cho sinh viên một cách nhiệt tình .",positive,lecturer,"thầy thân_thiện , giải_đáp thắc_mắc và định_hướng nghiên_cứu cho sinh_viên một cách_nhiệt_tình .",positive,lecturer
cô đến lớp đúng giờ và dạy dễ hiểu .,positive,lecturer,cô đến lớp đúng giờ và dạy dễ hiểu .,positive,lecturer
"lên lớp đúng giờ , giảng dạy dễ hiểu .",positive,lecturer,"lên_lớp đúng giờ , giảng_dạy dễ hiểu .",positive,lecturer
đưa nhiều bài tập khó mà có lời giải cho sinh viên về nhà nghiên cứu .,positive,lecturer,đưa nhiều bài_tập khó mà có lời_giải cho sinh_viên về nhà nghiên_cứu .,neutral,training_program
"giáo viên rất nhiệt tình , tận tâm hướng dẫn .",positive,lecturer,"giáo_viên rất nhiệt_tình , tận_tâm hướng_dẫn .",positive,lecturer
"quan tâm , tận tình giúp đỡ sinh viên .",positive,lecturer,"quan_tâm , tận_tình giúp_đỡ sinh_viên .",positive,lecturer
giảng viên đến lớp rất đúng giờ ( sớm hơn cả giờ bắt đầu ) .,positive,lecturer,giảng_viên đến lớp rất đúng giờ ( sớm hơn cả giờ bắt_đầu ) .,positive,lecturer
và giải đáp thắc mắc cho lớp em về code rất nhiệt tình .,positive,lecturer,và giải_đáp thắc_mắc cho lớp em về code rất nhiệt_tình .,positive,lecturer
"thầy dạy đường lối mà em cứ ngỡ như em đang trở về thời đó , cách kể chuyện lịch sử qua tuyệt vời , có thể nói nếu tất cả các môn chính trị nào cũng có thầy dạy thì chắc em lên trình chính trị nhiều lắm ạ .",positive,lecturer,"thầy dạy đường_lối mà em cứ ngỡ như em đang trở về thời đó , cách kể chuyện lịch_sử qua tuyệt_vời , có_thể nói nếu tất_cả các môn chính_trị nào cũng có thầy dạy thì chắc em lên trình chính_trị nhiều lắm ạ .",positive,lecturer
"thầy dạy rất nhiệt tình và tận tâm , quan tâm nhiều đến học sinh .",positive,lecturer,"thầy dạy rất nhiệt_tình và tận_tâm , quan_tâm nhiều đến học_sinh .",positive,lecturer
thường xuyên trao đổi thông tin về tình trạng công việc hiện tại và giới thiệu các doanh nghiệp phù hợp khả năng của sinh viên .,positive,lecturer,thường_xuyên trao_đổi thông_tin về tình_trạng công_việc hiện_tại và giới_thiệu các doanh_nghiệp phù_hợp khả_năng của sinh_viên .,positive,lecturer
thầy rất vui vẻ .,positive,lecturer,thầy rất vui_vẻ .,positive,lecturer
"giảng viên nhiệt tình , đi sớm .",positive,lecturer,"giảng_viên nhiệt_tình , đi sớm .",positive,lecturer
giảng viên dạy luôn đúng giờ .,positive,lecturer,giảng_viên dạy luôn đúng giờ .,positive,lecturer
"cô dạy lý thuyết ngắn gọn , bài tập thường xuyên !",positive,lecturer,"cô dạy lý_thuyết ngắn_gọn , bài_tập thường_xuyên !",positive,lecturer
theo chủ quan của cá nhân tôi cô wzjwz248 là người truyền đạt kiến thức tốt nhất từ trước tới giờ so với những giảng viên mà tôi từng biết .,positive,lecturer,theo chủ_quan của cá_nhân tôi cô wzjwz248 là người truyền_đạt kiến_thức tốt nhất từ trước tới giờ so với những giảng_viên mà tôi từng biết .,positive,lecturer
rất thu hút .,positive,lecturer,rất thu_hút .,positive,lecturer
giảng viên thường xuyên chia sẻ tình hình và kinh nghiệm thực tế liên quan đến môn học .,positive,lecturer,giảng_viên thường_xuyên chia_sẻ tình_hình và kinh_nghiệm thực_tế liên_quan đến môn_học .,positive,lecturer
có quan tâm đến sinh viên .,positive,lecturer,có quan_tâm đến sinh_viên .,positive,lecturer
cô dạy rất hay .,positive,lecturer,cô dạy rất hay .,positive,lecturer
thầy giảng hay dễ hiểu .,positive,lecturer,thầy giảng hay dễ hiểu .,positive,lecturer
giáo viên nhiệt tình và tâm huyết .,positive,lecturer,giáo_viên nhiệt_tình và tâm_huyết .,positive,lecturer
"nghiêm khắc , tận tâm trong việc giảng dạy .",positive,lecturer,"nghiêm_khắc , tận_tâm trong việc giảng_dạy .",positive,lecturer
"giảng viên nhiệt tình , cho bài tập đa dạng , và hướng dẫn nhiệt tình .",positive,lecturer,"giảng_viên nhiệt_tình , cho bài_tập đa_dạng , và hướng_dẫn_nhiệt_tình .",positive,lecturer
tận tâm nhiệt tình .,positive,lecturer,tận_tâm nhiệt_tình .,positive,lecturer
tạo không khí học tập năng động .,positive,lecturer,tạo không_khí học_tập năng_động .,positive,lecturer
"thầy tích cực lên lớp , không nghỉ buổi nào .",positive,lecturer,"thầy tích_cực lên_lớp , không nghỉ buổi nào .",positive,lecturer
thầy rất đúng giờ !,positive,lecturer,thầy rất đúng giờ !,positive,lecturer
"thầy dạy nhiệt tình , dễ tính .",positive,lecturer,"thầy dạy nhiệt_tình , dễ_tính .",positive,lecturer
hoàn toàn hài lòng .,positive,lecturer,hoàn_toàn hài_lòng .,positive,others
"cô giảng bài cụ thể , áp dụng vào thực tế rõ ràng .",positive,lecturer,"cô giảng bài cụ_thể , áp_dụng vào thực_tế rõ_ràng .",positive,lecturer
luôn hướng dẫn cụ thể và giải thích những khó khăn cho sinh viên .,positive,lecturer,luôn hướng_dẫn cụ_thể và giải_thích những khó_khăn cho sinh_viên .,positive,lecturer
"thầy dạy rõ ràng , dễ hiểu .",positive,lecturer,"thầy dạy rõ_ràng , dễ hiểu .",positive,lecturer
"vui vẻ , nhiệt huyết .",positive,lecturer,"vui_vẻ , nhiệt_huyết .",positive,lecturer
cho các nhóm lên trình bày để tránh việc các bạn copy bài trên mạng và không hiểu bài .,positive,lecturer,cho các nhóm lên trình_bày để tránh việc các bạn copy bài trên mạng và không hiểu bài .,positive,training_program
"giảng kỹ , dễ hiểu .",positive,lecturer,"giảng kỹ , dễ hiểu .",positive,lecturer
"thầy dạy hay , có sức cuốn hút .",positive,lecturer,"thầy dạy hay , có sức cuốn_hút .",positive,lecturer
"thầy thân thiện với học sinh , giảng bài tận tình .",positive,lecturer,"thầy thân_thiện với học_sinh , giảng bài tận_tình .",positive,lecturer
"cô dạy rất nhiệt tình , giảng bài dễ hiểu , luôn giải quyết mọi vấn đề thắc mắc một cách chi tiết , cụ thể .",positive,lecturer,"cô dạy rất nhiệt_tình , giảng bài dễ hiểu , luôn giải_quyết mọi vấn_đề thắc_mắc một_cách chi_tiết , cụ_thể .",positive,lecturer
"phương pháp , thái độ và sự nhiệt tình của giảng viên .",positive,lecturer,"phương_pháp , thái_độ và sự nhiệt_tình của giảng_viên .",positive,lecturer
thầy rất nhiệt tình và quan tâm tới kiến thức của sinh viên .,positive,lecturer,thầy rất nhiệt_tình và quan_tâm tới kiến_thức của sinh_viên .,positive,lecturer
cô tận tâm và thân thiện .,positive,lecturer,cô tận_tâm và thân_thiện .,positive,lecturer
giáo viên tận tình truyền đạt kiến thức .,positive,lecturer,giáo_viên tận_tình truyền_đạt kiến_thức .,positive,lecturer
thầy cho thực hành làm mạch dễ tiếp thu kiến thức .,positive,lecturer,thầy cho thực_hành làm mạch dễ tiếp_thu kiến_thức .,positive,lecturer
"giảng viên tận tình giảng dạy , quan tâm đến sinh viên .",positive,lecturer,"giảng_viên tận_tình giảng_dạy , quan_tâm đến sinh_viên .",positive,lecturer
tận tâm và nhiệt tình .,positive,lecturer,tận_tâm và nhiệt_tình .,positive,lecturer
cô rất nhiệt tình trong giảng dạy .,positive,lecturer,cô rất nhiệt_tình trong giảng_dạy .,positive,lecturer
"giảng viên truyền đạt kiến thức một cách máy móc , không có hiệu quả , tạo không gian học tập áp lực , chán nản cho sinh viên .",positive,lecturer,"giảng_viên truyền_đạt kiến_thức một_cách máy_móc , không có hiệu_quả , tạo không_gian học_tập áp_lực , chán_nản cho sinh_viên .",negative,lecturer
"thầy khá vui tính , gần gũi với sinh viên , nhiệt tình .",positive,lecturer,"thầy khá vui_tính , gần_gũi với sinh_viên , nhiệt_tình .",positive,lecturer
"cô dạy hay , dễ hiểu , giảng kỹ , thân thiện với sinh viên .",positive,lecturer,"cô dạy hay , dễ hiểu , giảng kỹ , thân_thiện với sinh_viên .",positive,lecturer
có ví dụ rất cụ thể .,positive,lecturer,có ví_dụ rất cụ_thể .,positive,lecturer
"nhiệt tình , chu đáo .",positive,lecturer,"nhiệt_tình , chu_đáo .",positive,lecturer
cô dạy rất sát kiến thức .,positive,lecturer,cô dạy rất sát kiến_thức .,positive,lecturer
"dạy dễ hiểu , nhiệt tình với sinh viên .",positive,lecturer,"dạy dễ hiểu , nhiệt_tình với sinh_viên .",positive,lecturer
"thầy wzjwz322 vui tính , hài hước , thực tế , cụ thể trong việc hướng dẫn sinh viên làm đồ án .",positive,lecturer,"thầy wzjwz322 vui_tính , hài_hước , thực_tế , cụ_thể trong việc hướng_dẫn sinh_viên làm đồ_án .",positive,lecturer
cô wzjwz280 dạy rất kỹ và nhiệt tình .,positive,lecturer,cô wzjwz280 dạy rất kỹ và nhiệt_tình .,positive,lecturer
"giảng viên nhiệt tình , giảng dạy hay , dễ hiểu .",positive,lecturer,"giảng_viên nhiệt_tình , giảng_dạy hay , dễ hiểu .",positive,lecturer
cô dạy rất tận tình và gần gũi nhưng tại tụi em lười quá .,positive,lecturer,cô dạy rất tận_tình và gần_gũi nhưng tại tụi em lười quá .,positive,lecturer
cô rất vui tính và thoải mái .,positive,lecturer,cô rất vui_tính và thoải_mái .,positive,lecturer
tận tình nhiệt huyết với học sinh .,positive,lecturer,tận_tình nhiệt_huyết với học_sinh .,positive,lecturer
"hiểu tâm lý học sinh nên mọi người trong lớp đều chú ý giảng bài , bắt được các công nghệ mới và áp dụng các bài tập cho học sinh một cách khoa học .",positive,lecturer,"hiểu tâm_lý_học_sinh nên mọi người trong lớp đều chú_ý giảng bài , bắt được các công_nghệ mới và áp_dụng các bài_tập cho học_sinh một_cách khoa_học .",positive,lecturer
"thầy dạy kỹ , giảng dạy trực quan , dễ hiểu .",positive,lecturer,"thầy dạy kỹ , giảng_dạy trực_quan , dễ hiểu .",positive,lecturer
thầy tâm huyết .,positive,lecturer,thầy tâm_huyết .,positive,lecturer
"thầy dạy rất hay , thú vị .",positive,lecturer,"thầy dạy rất hay , thú_vị .",positive,lecturer
"qua hai học kỳ được học các môn học do thầy wzjwz110 giảng dạy , thầy dạy rất được .",positive,lecturer,"qua hai học_kỳ được học các môn_học do thầy wzjwz110 giảng_dạy , thầy dạy rất được .",positive,lecturer
"thầy quá tuyệt vời , nhiệt tình , quá chu đáo .",positive,lecturer,"thầy quá tuyệt_vời , nhiệt_tình , quá chu_đáo .",positive,lecturer
"giảng viên nhiệt tình , hướng dẫn chi tiết , truyền đạt kiến thức tốt .",positive,lecturer,"giảng_viên nhiệt_tình , hướng_dẫn chi_tiết , truyền_đạt kiến_thức tốt .",positive,lecturer
"giảng viên giảng dạy dễ hiểu , nhiệt tình .",positive,lecturer,"giảng_viên giảng_dạy dễ hiểu , nhiệt_tình .",positive,lecturer
cần có nhiều giảng viên như cô dạy hơn .,positive,lecturer,cần có nhiều giảng_viên như cô dạy hơn .,positive,lecturer
cô chỉ dẫn rất chu đáo và giảng giải kỹ .,positive,lecturer,cô chỉ_dẫn rất chu_đáo và giảng_giải kỹ .,positive,lecturer
cô dạy hay và nhiệt tình với sinh viên .,positive,lecturer,cô dạy hay và nhiệt_tình với sinh_viên .,positive,lecturer
